first,second,third,fourth,fifth,sixth,Day_Name,Month,Day,Week,week_cos,week_sin,month_cos,month_sin,day_cos,day_sin
2,3,8,28,30,42,Saturday,11,9,45,-0.9009688679024185,0.43388373911755956,0.8660254037844384,-0.5000000000000004,-0.2506525322587204,0.9680771188662043
4,18,19,20,22,41,Thursday,11,7,45,-0.9009688679024185,0.43388373911755956,0.8660254037844384,-0.5000000000000004,0.1514277775045767,0.9884683243281114
8,11,17,20,30,32,Tuesday,11,5,45,-0.9009688679024185,0.43388373911755956,0.8660254037844384,-0.5000000000000004,0.5289640103269624,0.8486442574947509
1,7,24,25,30,37,Saturday,11,2,44,-0.22252093395630598,0.9749279121818255,0.8660254037844384,-0.5000000000000004,0.9189578116202306,0.39435585511331855
4,6,7,14,30,35,Thursday,10,31,44,-0.22252093395630598,0.9749279121818255,0.5000000000000001,-0.8660254037844386,1.0,-2.4492935982947064e-16
3,17,20,23,28,37,Tuesday,10,29,44,-0.22252093395630598,0.9749279121818255,0.5000000000000001,-0.8660254037844386,0.9189578116202306,-0.3943558551133187
11,16,20,28,29,35,Saturday,10,26,43,0.6234898018587347,0.7818314824680289,0.5000000000000001,-0.8660254037844386,0.5289640103269624,-0.8486442574947509
4,12,20,21,22,25,Thursday,10,24,43,0.6234898018587347,0.7818314824680289,0.5000000000000001,-0.8660254037844386,0.15142777750457667,-0.9884683243281114
10,15,21,35,38,39,Tuesday,10,22,43,0.6234898018587347,0.7818314824680289,0.5000000000000001,-0.8660254037844386,-0.2506525322587213,-0.9680771188662041
7,11,15,18,19,33,Saturday,10,19,42,1.0,-1.4695761589768238e-15,0.5000000000000001,-0.8660254037844386,-0.7587581226927911,-0.651372482722222
18,23,25,35,39,40,Thursday,10,17,42,1.0,-1.4695761589768238e-15,0.5000000000000001,-0.8660254037844386,-0.9541392564000488,-0.2993631229733582
6,9,15,19,26,27,Tuesday,10,15,42,1.0,-1.4695761589768238e-15,0.5000000000000001,-0.8660254037844386,-0.994869323391895,0.10116832198743272
6,9,13,36,37,39,Saturday,10,12,41,0.6234898018587324,-0.7818314824680307,0.5000000000000001,-0.8660254037844386,-0.758758122692791,0.6513724827222223
9,16,19,27,35,42,Thursday,10,10,41,0.6234898018587324,-0.7818314824680307,0.5000000000000001,-0.8660254037844386,-0.4403941515576344,0.8978045395707416
3,4,19,24,31,37,Tuesday,10,8,41,0.6234898018587324,-0.7818314824680307,0.5000000000000001,-0.8660254037844386,-0.05064916883871264,0.9987165071710528
1,6,11,13,23,31,Saturday,10,5,40,-0.22252093395631578,-0.9749279121818233,0.5000000000000001,-0.8660254037844386,0.5289640103269624,0.8486442574947509
9,11,18,31,33,38,Thursday,10,3,40,-0.22252093395631578,-0.9749279121818233,0.5000000000000001,-0.8660254037844386,0.8207634412072763,0.5712682150947923
3,7,14,17,23,32,Tuesday,10,1,40,-0.22252093395631578,-0.9749279121818233,0.5000000000000001,-0.8660254037844386,0.9795299412524945,0.20129852008866006
2,18,26,35,38,40,Saturday,9,28,39,-0.9009688679024197,-0.4338837391175569,-1.8369701987210297e-16,-1.0,0.8207634412072763,-0.5712682150947924
1,3,4,19,26,27,Thursday,9,26,39,-0.9009688679024197,-0.4338837391175569,-1.8369701987210297e-16,-1.0,0.5289640103269624,-0.8486442574947509
11,14,22,31,33,34,Tuesday,9,24,39,-0.9009688679024197,-0.4338837391175569,-1.8369701987210297e-16,-1.0,0.15142777750457667,-0.9884683243281114
2,5,8,20,25,39,Saturday,9,21,38,-0.9009688679024186,0.43388373911755934,-1.8369701987210297e-16,-1.0,-0.44039415155763423,-0.8978045395707417
16,21,35,37,38,42,Thursday,9,19,38,-0.9009688679024186,0.43388373911755934,-1.8369701987210297e-16,-1.0,-0.7587581226927911,-0.651372482722222
5,9,22,27,32,36,Tuesday,9,17,38,-0.9009688679024186,0.43388373911755934,-1.8369701987210297e-16,-1.0,-0.9541392564000488,-0.2993631229733582
1,9,28,30,31,34,Saturday,9,14,37,-0.22252093395631314,0.9749279121818238,-1.8369701987210297e-16,-1.0,-0.9541392564000488,0.29936312297335804
8,12,23,24,25,40,Thursday,9,12,37,-0.22252093395631314,0.9749279121818238,-1.8369701987210297e-16,-1.0,-0.758758122692791,0.6513724827222223
13,15,16,17,28,36,Tuesday,9,10,37,-0.22252093395631314,0.9749279121818238,-1.8369701987210297e-16,-1.0,-0.4403941515576344,0.8978045395707416
21,24,27,29,32,40,Saturday,9,7,36,0.6234898018587345,0.781831482468029,-1.8369701987210297e-16,-1.0,0.1514277775045767,0.9884683243281114
6,11,23,31,35,40,Thursday,9,5,36,0.6234898018587345,0.781831482468029,-1.8369701987210297e-16,-1.0,0.5289640103269624,0.8486442574947509
1,16,22,36,38,39,Tuesday,9,3,36,0.6234898018587345,0.781831482468029,-1.8369701987210297e-16,-1.0,0.8207634412072763,0.5712682150947923
2,5,20,28,35,41,Saturday,8,31,35,1.0,-1.2246467991473533e-15,-0.5000000000000004,-0.8660254037844385,1.0,-2.4492935982947064e-16
9,17,29,34,36,42,Thursday,8,29,35,1.0,-1.2246467991473533e-15,-0.5000000000000004,-0.8660254037844385,0.9189578116202306,-0.3943558551133187
2,16,18,35,38,39,Tuesday,8,27,35,1.0,-1.2246467991473533e-15,-0.5000000000000004,-0.8660254037844385,0.6889669190756865,-0.72479278722912
1,22,25,29,38,40,Saturday,8,24,34,0.6234898018587354,-0.7818314824680284,-0.5000000000000004,-0.8660254037844385,0.15142777750457667,-0.9884683243281114
