Date,first,second,third,fourth,fifth,sixth,Day_Name,Month,Day,Week,week_cos,week_sin,month_cos,month_sin,day_cos,day_sin
2021-05-01,5,6,11,12,35,41,Saturday,5,1,17,-0.9009688679024196,0.43388373911755707,-0.8660254037844387,0.49999999999999994,0.9795299412524945,0.20129852008866006
2021-04-29,5,13,19,27,32,40,Thursday,4,29,17,-0.9009688679024196,0.43388373911755707,-0.4999999999999998,0.8660254037844387,0.9189578116202306,-0.3943558551133187
2021-04-27,2,15,19,25,31,41,Tuesday,4,27,17,-0.9009688679024196,0.43388373911755707,-0.4999999999999998,0.8660254037844387,0.6889669190756865,-0.72479278722912
2021-04-24,1,9,18,19,35,37,Saturday,4,24,16,-0.22252093395631387,0.9749279121818237,-0.4999999999999998,0.8660254037844387,0.15142777750457667,-0.9884683243281114
2021-04-22,12,17,19,21,24,39,Thursday,4,22,16,-0.22252093395631387,0.9749279121818237,-0.4999999999999998,0.8660254037844387,-0.2506525322587213,-0.9680771188662041
2021-04-20,5,9,10,25,30,35,Tuesday,4,20,16,-0.22252093395631387,0.9749279121818237,-0.4999999999999998,0.8660254037844387,-0.6121059825476627,-0.7907757369376986
2021-04-17,2,3,20,22,32,37,Saturday,4,17,15,0.6234898018587354,0.7818314824680284,-0.4999999999999998,0.8660254037844387,-0.9541392564000488,-0.2993631229733582
2021-04-15,10,21,22,33,41,42,Thursday,4,15,15,0.6234898018587354,0.7818314824680284,-0.4999999999999998,0.8660254037844387,-0.994869323391895,0.10116832198743272
2021-04-13,5,7,14,18,26,37,Tuesday,4,13,15,0.6234898018587354,0.7818314824680284,-0.4999999999999998,0.8660254037844387,-0.8743466161445821,0.48530196253108104
2021-04-10,6,12,14,16,36,37,Saturday,4,10,14,1.0,-4.898587196589413e-16,-0.4999999999999998,0.8660254037844387,-0.4403941515576344,0.8978045395707416
2021-04-08,2,11,16,19,26,39,Thursday,4,8,14,1.0,-4.898587196589413e-16,-0.4999999999999998,0.8660254037844387,-0.05064916883871264,0.9987165071710528
2021-04-06,3,12,18,21,23,33,Tuesday,4,6,14,1.0,-4.898587196589413e-16,-0.4999999999999998,0.8660254037844387,0.3473052528448203,0.9377521321470804
2021-03-30,2,9,13,24,39,40,Tuesday,3,30,13,0.6234898018587346,-0.781831482468029,6.123233995736766e-17,1.0,0.9795299412524943,-0.20129852008866114
2021-03-27,4,9,10,25,32,38,Saturday,3,27,12,-0.2225209339563148,-0.9749279121818235,6.123233995736766e-17,1.0,0.6889669190756865,-0.72479278722912
2021-03-25,4,16,17,27,31,39,Thursday,3,25,12,-0.2225209339563148,-0.9749279121818235,6.123233995736766e-17,1.0,0.3473052528448203,-0.9377521321470804
